"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Ontology","Direction","GeneRatio","p.adjust","Count"
"Regulation Of Epidermal Cell Differentiation (GO:0045604)","5/18",0.00258394480892634,0.0306016671910389,0,0,6.47733516483517,38.5948003221295,"ERRFI1;ZFP36;MAFF;AQP3;ZFP36L1","BP","Down",0.277777777777778,0.0306016671910389,5
"Positive Regulation Of Cell Differentiation (GO:0045597)","28/283",0.00271825960625596,0.0320155003730386,0,0,1.86376391942374,11.0106763702552,"TNXB;TACSTD2;ASCL1;ZFP36L1;RANBP3L;ZFP36;BRINP2;SULT1E1;NOCT;DPF3;SOX6;HGF;IGFBP3;SERPINF2;IGF1;TENT5A;GDF6;ADRA2B;SFRP1;IL6;LRG1;ID2;IL1B;AGTR1;IL6ST;BMPR1B;FERMT2;PF4","BP","Down",0.0989399293286219,0.0320155003730386,28
"Response To Glucocorticoid (GO:0051384)","6/26",0.00272177885015746,0.0320155003730386,0,0,5.05495978552279,29.856966420716,"IL10;IL1RN;ZFP36;IL6;GOT1;ZFP36L1","BP","Down",0.230769230769231,0.0320155003730386,6
"Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560)","13/96",0.00275678904332503,0.0322879930756275,0,0,2.64687527086764,15.5998587858596,"JUN;HPGD;PDE2A;APOA1;WNT7A;FOS;ZFP36L1;TGFBR3;SFRP1;ID1;SOX6;WNT2;FERMT2","BP","Down",0.135416666666667,0.0322879930756275,13
"Defense Response To Gram-positive Bacterium (GO:0050830)","12/85",0.00278216424484513,0.0322879930756275,0,0,2.77694494701473,16.3410051545354,"CRP;FCN2;IL6;PGLYRP2;GBP7;EHHADH;IL1B;STAB2;ANG;MPEG1;MYD88;MBL2","BP","Down",0.141176470588235,0.0322879930756275,12
"Response To Interleukin-1 (GO:0070555)","12/85",0.00278216424484513,0.0322879930756275,0,0,2.77694494701473,16.3410051545354,"SFRP1;CCL23;PTGIS;IL1B;CCL4;CCL3;CCL2;HAS2;GBP1;SELE;MYD88;NKX3-1","BP","Down",0.141176470588235,0.0322879930756275,12
"Transport Across Blood-Brain Barrier (GO:0150104)","12/85",0.00278216424484513,0.0322879930756275,0,0,2.77694494701473,16.3410051545354,"SLC7A8;SLCO2B1;SLC1A1;SLC22A1;ABCC9;AVPR1A;SLC5A1;SLC16A2;SLC4A4;SLC38A2;SLC7A2;MFSD2A","BP","Down",0.141176470588235,0.0322879930756275,12
"Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039)","8/44",0.00283485675306538,0.0327898431104562,0,0,3.74793593952054,21.9845072252303,"GNAO1;IL6;NR4A3;CCL2;HAS2;TNFSF11;SIRPB1;SKAP1","BP","Down",0.181818181818182,0.0327898431104562,8
"Negative Regulation Of Cell Cycle G1/S Phase Transition (GO:1902807)","7/35",0.00293689197675912,0.0336337133972084,0,0,4.21444543828265,24.5719170443883,"WEE1;DCUN1D3;FHL1;CCL2;INHBA;KLF4;MYO16","BP","Down",0.2,0.0336337133972084,7
"One-Carbon Compound Transport (GO:0019755)","7/35",0.00293689197675912,0.0336337133972084,0,0,4.21444543828265,24.5719170443883,"CA2;SLC4A10;HBB;SLC4A1;HBA1;SLC4A4;CFTR","BP","Down",0.2,0.0336337133972084,7
"Platelet Aggregation (GO:0070527)","7/35",0.00293689197675912,0.0336337133972084,0,0,4.21444543828265,24.5719170443883,"FGB;P2RY12;FGA;PDGFRA;FGL1;FGG;HBB","BP","Down",0.2,0.0336337133972084,7
"Negative Regulation Of Programmed Cell Death (GO:0043069)","35/381",0.00305488158884711,0.0343927628099176,0,0,1.71956037545739,9.95799897658699,"LTK;CITED2;FHL2;VTCN1;ASCL1;MPO;THBS1;NUGGC;FOXO1;SOCS2;SOCS3;HMGN5;MYC;PIM1;MCL1;IL10;PLK3;EGR3;TSLP;HGF;SERPINB9;IGF1;FABP1;SFRP1;IL6;TCIM;AXL;ALB;CAT;IL2RB;SPRY2;TEK;ATF5;IL6ST;FXN","BP","Down",0.0918635170603675,0.0343927628099176,35
"Negative Regulation Of Angiogenesis (GO:0016525)","12/86",0.00307167325761484,0.0343927628099176,0,0,2.73927296568806,15.8481536755303,"CD160;APOH;SERPINE1;STAB1;GDF2;SPRY2;NRG1;TEK;KLF4;THBS1;DCN;PF4","BP","Down",0.13953488372093,0.0343927628099176,12
"Citrulline Metabolic Process (GO:0000052)","3/6",0.00312210959225477,0.0343927628099176,0,0,16.8199643493761,97.0385180018314,"CPS1;ASS1;OTC","BP","Down",0.5,0.0343927628099176,3
"Copper Ion Import (GO:0015677)","3/6",0.00312210959225477,0.0343927628099176,0,0,16.8199643493761,97.0385180018314,"STEAP3;STEAP4;SLC31A1","BP","Down",0.5,0.0343927628099176,3
"Heart Trabecula Formation (GO:0060347)","3/6",0.00312210959225477,0.0343927628099176,0,0,16.8199643493761,97.0385180018314,"TGFBR3;BMP10;TEK","BP","Down",0.5,0.0343927628099176,3
"Leucine Metabolic Process (GO:0006551)","3/6",0.00312210959225477,0.0343927628099176,0,0,16.8199643493761,97.0385180018314,"HMGCL;IVD;HMGCLL1","BP","Down",0.5,0.0343927628099176,3
"Locomotor Rhythm (GO:0045475)","3/6",0.00312210959225477,0.0343927628099176,0,0,16.8199643493761,97.0385180018314,"EGR1;NCOR1;ID2","BP","Down",0.5,0.0343927628099176,3
"Negative Regulation Of Plasminogen Activation (GO:0010757)","3/6",0.00312210959225477,0.0343927628099176,0,0,16.8199643493761,97.0385180018314,"SERPINE1;SERPINF2;THBS1","BP","Down",0.5,0.0343927628099176,3
"Norepinephrine Biosynthetic Process (GO:0042421)","3/6",0.00312210959225477,0.0343927628099176,0,0,16.8199643493761,97.0385180018314,"TH;HAND2;GATA3","BP","Down",0.5,0.0343927628099176,3
"Positive Regulation Of Leukocyte Tethering Or Rolling (GO:1903238)","3/6",0.00312210959225477,0.0343927628099176,0,0,16.8199643493761,97.0385180018314,"SELP;CHST4;SELE","BP","Down",0.5,0.0343927628099176,3
"Regulation Of Cardiac Muscle Hypertrophy In Response To Stress (GO:1903242)","3/6",0.00312210959225477,0.0343927628099176,0,0,16.8199643493761,97.0385180018314,"BMP10;MLIP;FOXO1","BP","Down",0.5,0.0343927628099176,3
"Regulation Of Systemic Arterial Blood Pressure By Renin-Angiotensin (GO:0003081)","3/6",0.00312210959225477,0.0343927628099176,0,0,16.8199643493761,97.0385180018314,"ENPEP;SERPINF2;AGTR1","BP","Down",0.5,0.0343927628099176,3
"Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:2001239)","6/27",0.00333527345204771,0.0365131784318733,0,0,4.81399208476956,27.4551625864928,"RET;EYA2;IL1B;INHBA;MCL1;PF4","BP","Down",0.222222222222222,0.0365131784318733,6
"Multicellular Organismal-Level Water Homeostasis (GO:0050891)","5/19",0.0033461644787711,0.0365131784318733,0,0,6.01434948979592,34.2814343630823,"CYP4F2;TRPV4;CYP4A11;AQP3;CFTR","BP","Down",0.263157894736842,0.0365131784318733,5
"Regulation Of Smooth Muscle Cell Migration (GO:0014910)","5/19",0.0033461644787711,0.0365131784318733,0,0,6.01434948979592,34.2814343630823,"IGFBP3;SERPINE1;IGF1;TRIB1;SORL1","BP","Down",0.263157894736842,0.0365131784318733,5
"Regulation Of Type II Interferon Production (GO:0032649)","12/87",0.00338508981080107,0.0365626696910887,0,0,2.7026055705301,15.3734335324835,"CD274;CR1;IL1B;CD226;LILRB1;PDCD1LG2;CD14;INHBA;TLR4;TLR3;CD244;IL18R1","BP","Down",0.137931034482759,0.0365626696910887,12
"Low-Density Lipoprotein Particle Remodeling (GO:0034374)","4/12",0.00342445753590888,0.0365626696910887,0,0,8.41525423728813,47.7718179496931,"CETP;LIPC;AGTR1;MPO","BP","Down",0.333333333333333,0.0365626696910887,4
"Macrophage Migration (GO:1905517)","4/12",0.00342445753590888,0.0365626696910887,0,0,8.41525423728813,47.7718179496931,"EDNRB;CCL3;SAA1;CCL2","BP","Down",0.333333333333333,0.0365626696910887,4
"Negative Regulation Of Complement Activation (GO:0045916)","4/12",0.00342445753590888,0.0365626696910887,0,0,8.41525423728813,47.7718179496931,"CR1;SERPING1;SVEP1;VSIG4","BP","Down",0.333333333333333,0.0365626696910887,4
"Phospholipid Homeostasis (GO:0055091)","4/12",0.00342445753590888,0.0365626696910887,0,0,8.41525423728813,47.7718179496931,"CETP;LIPG;ANGPTL3;APOA1","BP","Down",0.333333333333333,0.0365626696910887,4
"Synaptic Membrane Adhesion (GO:0099560)","4/12",0.00342445753590888,0.0365626696910887,0,0,8.41525423728813,47.7718179496931,"PTPRD;SLITRK3;LRRC4;LRRC4C","BP","Down",0.333333333333333,0.0365626696910887,4
"Triglyceride Catabolic Process (GO:0019433)","4/12",0.00342445753590888,0.0365626696910887,0,0,8.41525423728813,47.7718179496931,"LIPC;CPS1;APOC3;PNPLA5","BP","Down",0.333333333333333,0.0365626696910887,4
"Negative Regulation Of Response To External Stimulus (GO:0032102)","17/146",0.00351195770234802,0.0373818810648701,0,0,2.22960568662021,12.6007985786218,"IL10;APCS;PTGIS;SERPINE1;APOA1;FPR2;GATA3;MEFV;LILRA2;KLF4;NLRP12;FNDC4;MMRN1;SAA1;NLRP3;TEK;TRIB1","BP","Down",0.116438356164384,0.0373818810648701,17
"Regulation Of Endothelial Cell Migration (GO:0010594)","12/88",0.00372381613269491,0.0395157247108603,0,0,2.66690310682366,14.9160058629963,"BMP10;BMPER;APOH;ATOH8;GDF2;GATA3;TEK;PLPP3;THBS1;DCN;RHOB;EPHA2","BP","Down",0.136363636363636,0.0395157247108603,12
"Negative Regulation Of Blood Vessel Morphogenesis (GO:2000181)","11/77",0.00374102559109025,0.0395773134179365,0,0,2.81403351286655,15.7259321721201,"CD160;APOH;STAB1;GDF2;SPRY2;NRG1;TEK;KLF4;THBS1;DCN;PF4","BP","Down",0.142857142857143,0.0395773134179365,11
"Regulation Of Interleukin-10 Production (GO:0032653)","8/46",0.00377972279570877,0.0398651614015485,0,0,3.55029920369411,19.8039403426089,"CD274;IL6;TSLP;IRF4;LILRB1;PDCD1LG2;FCGR2B;TLR4","BP","Down",0.173913043478261,0.0398651614015485,8
"Apoptotic Cell Clearance (GO:0043277)","6/28",0.00404601616318669,0.042106379215634,0,0,4.59493053863027,25.318170862348,"FCN1;FCN2;FCN3;MEGF10;TIMD4;THBS1","BP","Down",0.214285714285714,0.042106379215634,6
"Negative Regulation Of Signaling (GO:0023057)","6/28",0.00404601616318669,0.042106379215634,0,0,4.59493053863027,25.318170862348,"NLRP12;HHIP;IGFBP3;IL1B;FGF23;LDLR","BP","Down",0.214285714285714,0.042106379215634,6
"Negative Regulation Of Type II Interferon Production (GO:0032689)","6/28",0.00404601616318669,0.042106379215634,0,0,4.59493053863027,25.318170862348,"CD274;CR1;LILRB1;INHBA;PDCD1LG2;TLR4","BP","Down",0.214285714285714,0.042106379215634,6
"Negative Regulation Of Wound Healing (GO:0061045)","6/28",0.00404601616318669,0.042106379215634,0,0,4.59493053863027,25.318170862348,"APCS;THBD;MMRN1;APOH;SERPINE1;PHLDB2","BP","Down",0.214285714285714,0.042106379215634,6
"Negative Regulation Of Endothelial Cell Proliferation (GO:0001937)","7/37",0.00407775753594389,0.042106379215634,0,0,3.93306499701849,21.6405419475809,"NGFR;APOH;ATOH8;GDF2;SORD;CCL2;THBS1","BP","Down",0.189189189189189,0.042106379215634,7
"Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662)","7/37",0.00407775753594389,0.042106379215634,0,0,3.93306499701849,21.6405419475809,"IL10;PTGIR;IGFBP3;HMOX1;ANG;TRIB1;PPARGC1A","BP","Down",0.189189189189189,0.042106379215634,7
"Positive Regulation Of Exocytosis (GO:0045921)","7/37",0.00407775753594389,0.042106379215634,0,0,3.93306499701849,21.6405419475809,"SMPD3;FGB;FGA;SDC4;FGG;CFTR;EXPH5","BP","Down",0.189189189189189,0.042106379215634,7
"Cellular Response To Peptide Hormone Stimulus (GO:0071375)","12/89",0.00408929388924169,0.042106379215634,0,0,2.63212797983687,14.4750797794085,"NR4A2;CRHBP;NR4A1;NR4A3;GOT1;GCGR;PCK1;SLC39A14;LPIN2;FOXO1;ZFP36L1;PCK2","BP","Down",0.134831460674157,0.042106379215634,12
"Regulation Of Protein Kinase B Signaling (GO:0051896)","16/136",0.00410731833552286,0.042166848000782,0,0,2.25488428013225,12.3905551529585,"RET;P2RY12;SORD;GATA3;IGF1;THBS1;AXL;FAM110C;SFRP5;CASS4;CCL3;SPRY2;TEK;FERMT2;EPHA2;TSPYL5","BP","Down",0.117647058823529,0.042166848000782,16
"Negative Regulation Of Macromolecule Metabolic Process (GO:0010605)","20/186",0.00413799453006746,0.0423564631838764,0,0,2.03990623125988,11.1940752438483,"CCR1;CITED2;SORD;IGF1;KLF4;ESR1;NR0B2;SFRP1;EDNRB;CILP;ID2;HAND2;NOCT;HEY2;ATOH8;CCL3;CCDC3;LDLR;NKX3-1;RBMS3","BP","Down",0.10752688172043,0.0423564631838764,20
"Glutamate Metabolic Process (GO:0006536)","5/20",0.00425752552807215,0.0433243800070685,0,0,5.61309523809524,30.6422638208595,"GLUD1;GOT1;GLS2;TAT;GOT2","BP","Down",0.25,0.0433243800070685,5
"Lipopolysaccharide-Mediated Signaling Pathway (GO:0031663)","5/20",0.00425752552807215,0.0433243800070685,0,0,5.61309523809524,30.6422638208595,"EHHADH;IL1B;CCL3;CCL2;TLR4","BP","Down",0.25,0.0433243800070685,5
"Chemokine-Mediated Signaling Pathway (GO:0070098)","9/57",0.00428535274758342,0.0434800410354224,0,0,3.16313844086022,17.247178125178,"CCR1;CCL23;CXCL12;CCL4;CCL3;CCL2;PPBP;CXCL2;PF4","BP","Down",0.157894736842105,0.0434800410354224,9
"Positive Regulation Of Signal Transduction (GO:0009967)","26/266",0.00443269238641144,0.0448438559208388,0,0,1.83693509250834,9.95388857425696,"TNXB;CITED2;LRRK2;NRXN1;GATA3;TNFSF11;RSPO3;NKX3-1;CCBE1;PTGIS;TSLP;PRKCB;PDE6G;CD180;WNT7A;IGF1;SLC39A14;SCIMP;SORL1;SFRP1;IL6;AXL;IL1B;CD226;TEK;IL6ST","BP","Down",0.0977443609022556,0.0448438559208388,26
"Positive Regulation Of Endocytosis (GO:0045807)","11/79",0.00457029713213981,0.0461015437457126,0,0,2.73097739993664,14.7149897728447,"TFR2;AXL;IL1B;SERPINE1;IL2RB;APOA1;FPR2;FCGR2B;APOA5;SIRPB1;MBL2","BP","Down",0.139240506329114,0.0461015437457126,11
"Regulation Of Cell Migration (GO:0030334)","38/434",0.00469300978710176,0.0464776204958645,0,0,1.63131313131313,8.74658087684531,"RET;CAMK2B;CSF1R;BMP10;TNXB;CITED2;SERPINE1;THBS1;DACH1;DUSP10;WNT11;FAM110C;NTF3;CCL3;HAS2;TNR;FGF23;CCR1;NGFR;PDGFRA;SEMA6D;HGF;IGF1;PODN;SORL1;RHOB;TMIGD3;IGSF10;SFRP1;CXCL12;IL1B;ANGPTL3;CASS4;SPRY2;AMOTL2;SGK1;FERMT2;EPHA2","BP","Down",0.0875576036866359,0.0464776204958645,38
"acyl-CoA Biosynthetic Process (GO:0071616)","4/13",0.00472812681125077,0.0464776204958645,0,0,7.47982951729607,40.0486990077917,"GCDH;MLYCD;SLC27A2;ACAT1","BP","Down",0.307692307692308,0.0464776204958645,4
"Glutamine Metabolic Process (GO:0006541)","4/13",0.00472812681125077,0.0464776204958645,0,0,7.47982951729607,40.0486990077917,"GLUD1;GLYATL1;CPS1;GLS2","BP","Down",0.307692307692308,0.0464776204958645,4
"Negative Regulation Of Cell Activation (GO:0050866)","4/13",0.00472812681125077,0.0464776204958645,0,0,7.47982951729607,40.0486990077917,"PDGFRA;THBD;C1QTNF1;LDLR","BP","Down",0.307692307692308,0.0464776204958645,4
"Negative Regulation Of Interleukin-12 Production (GO:0032695)","4/13",0.00472812681125077,0.0464776204958645,0,0,7.47982951729607,40.0486990077917,"IL10;LILRB1;MEFV;THBS1","BP","Down",0.307692307692308,0.0464776204958645,4
"Positive Regulation Of Type 2 Immune Response (GO:0002830)","4/13",0.00472812681125077,0.0464776204958645,0,0,7.47982951729607,40.0486990077917,"IL6;RSAD2;CD81;NLRP3","BP","Down",0.307692307692308,0.0464776204958645,4
"Regulation Of Nitrogen Compound Metabolic Process (GO:0051171)","4/13",0.00472812681125077,0.0464776204958645,0,0,7.47982951729607,40.0486990077917,"ALDH2;LDLR;CNDP1;MFSD2A","BP","Down",0.307692307692308,0.0464776204958645,4
"Regulation Of Response To Stress (GO:0080134)","4/13",0.00472812681125077,0.0464776204958645,0,0,7.47982951729607,40.0486990077917,"IL10;CRHBP;BMP10;SLC38A2","BP","Down",0.307692307692308,0.0464776204958645,4
"Sodium-Independent Organic Anion Transport (GO:0043252)","4/13",0.00472812681125077,0.0464776204958645,0,0,7.47982951729607,40.0486990077917,"SLCO1B1;SLCO2B1;SLCO1B3;SLCO4C1","BP","Down",0.307692307692308,0.0464776204958645,4
"Regulation Of MAP Kinase Activity (GO:0043405)","14/114",0.00478629453180176,0.0469165028964749,0,0,2.36588658865887,12.6385632018716,"CD300A;FLT3;DUSP1;LRRK2;THBS1;SORL1;GHR;IL1B;NTF3;TNFSF11;S100A12;SPRY2;TRIB1;TLR4","BP","Down",0.12280701754386,0.0469165028964749,14
"Regulation Of Bone Mineralization (GO:0030500)","9/58",0.00482501368818585,0.0471628098535349,0,0,3.09842001316656,16.5267917348552,"SRGN;CCR1;ECM1;CCL3;TENT5A;SGMS2;BMPR1B;FGF23;SLC8A1","BP","Down",0.155172413793103,0.0471628098535349,9
"Maintenance Of Blood-Brain Barrier (GO:0035633)","6/29",0.00486279010082536,0.047265774929591,0,0,4.39491782259005,23.4079604051236,"IL6;SLC1A1;DMD;MBL2;MFSD2A;TJP2","BP","Down",0.206896551724138,0.047265774929591,6
"Positive Regulation Of Calcium Ion Transport (GO:0051928)","6/29",0.00486279010082536,0.047265774929591,0,0,4.39491782259005,23.4079604051236,"CCR1;CXCL12;CCL4;CCL3;CCL2;LILRA2","BP","Down",0.206896551724138,0.047265774929591,6
"T-helper 17 Cell Lineage Commitment (GO:0072540)","3/7",0.0052357982588775,0.0491032971846079,0,0,12.6143048128342,66.2533053648043,"SOCS3;IL6;IRF4","BP","Down",0.428571428571429,0.0491032971846079,3
"Aromatic Compound Catabolic Process (GO:0019439)","3/7",0.0052357982588775,0.0491032971846079,0,0,12.6143048128342,66.2533053648043,"PON3;EPHX2;PON1","BP","Down",0.428571428571429,0.0491032971846079,3
"Benzene-Containing Compound Metabolic Process (GO:0042537)","3/7",0.0052357982588775,0.0491032971846079,0,0,12.6143048128342,66.2533053648043,"CYP2E1;ACAA1;KMO","BP","Down",0.428571428571429,0.0491032971846079,3
"Fatty Acid Alpha-Oxidation (GO:0001561)","3/7",0.0052357982588775,0.0491032971846079,0,0,12.6143048128342,66.2533053648043,"HAO1;HAO2;SLC27A2","BP","Down",0.428571428571429,0.0491032971846079,3
"Fructose Metabolic Process (GO:0006000)","3/7",0.0052357982588775,0.0491032971846079,0,0,12.6143048128342,66.2533053648043,"SORD;ALDOB;FBP1","BP","Down",0.428571428571429,0.0491032971846079,3
"Glycine Metabolic Process (GO:0006544)","3/7",0.0052357982588775,0.0491032971846079,0,0,12.6143048128342,66.2533053648043,"RIDA;SHMT1;GLYAT","BP","Down",0.428571428571429,0.0491032971846079,3
"Methionine Metabolic Process (GO:0006555)","3/7",0.0052357982588775,0.0491032971846079,0,0,12.6143048128342,66.2533053648043,"MSRA;MTHFD1;MAT1A","BP","Down",0.428571428571429,0.0491032971846079,3
"Negative Regulation Of T Cell Mediated Cytotoxicity (GO:0001915)","3/7",0.0052357982588775,0.0491032971846079,0,0,12.6143048128342,66.2533053648043,"KLRD1;LILRB1;FCGR2B","BP","Down",0.428571428571429,0.0491032971846079,3
"Negative Regulation Of Phospholipase Activity (GO:0010519)","3/7",0.0052357982588775,0.0491032971846079,0,0,12.6143048128342,66.2533053648043,"ANGPTL3;ANXA8;PLA2R1","BP","Down",0.428571428571429,0.0491032971846079,3
"Positive Regulation Of T-helper 2 Cell Cytokine Production (GO:2000553)","3/7",0.0052357982588775,0.0491032971846079,0,0,12.6143048128342,66.2533053648043,"IL6;RSAD2;NLRP3","BP","Down",0.428571428571429,0.0491032971846079,3
"Positive Regulation Of Gluconeogenesis (GO:0045722)","3/7",0.0052357982588775,0.0491032971846079,0,0,12.6143048128342,66.2533053648043,"NNMT;PPARGC1A;FOXO1","BP","Down",0.428571428571429,0.0491032971846079,3
"Tryptophan Catabolic Process (GO:0006569)","3/7",0.0052357982588775,0.0491032971846079,0,0,12.6143048128342,66.2533053648043,"TDO2;IDO2;KMO","BP","Down",0.428571428571429,0.0491032971846079,3
"Tryptophan Metabolic Process (GO:0006568)","3/7",0.0052357982588775,0.0491032971846079,0,0,12.6143048128342,66.2533053648043,"HAAO;IDO2;KMO","BP","Down",0.428571428571429,0.0491032971846079,3
"Cellular Response To Organic Cyclic Compound (GO:0071407)","17/152",0.00529593074524758,0.0495333684259005,0,0,2.12983019120203,11.1620492875575,"P2RY12;EGR1;KCNE1;AOC1;SLC1A1;PDE2A;ESR1;ZFP36L1;CRHBP;SFRP1;NR4A3;P2RX3;IL1B;CCL3;CCL2;CFTR;NKX3-1","BP","Down",0.111842105263158,0.0495333684259005,17
"Lipid Catabolic Process (GO:0016042)","5/21",0.00533286875069334,0.0496114063402303,0,0,5.26199776785714,27.5405909906258,"LIPC;CYP1A2;LIPG;PLAAT3;CYP3A4","BP","Down",0.238095238095238,0.0496114063402303,5
"Macrophage Differentiation (GO:0030225)","5/21",0.00533286875069334,0.0496114063402303,0,0,5.26199776785714,27.5405909906258,"CSF1R;IL33;IL1RL1;CD4;GATA3","BP","Down",0.238095238095238,0.0496114063402303,5
"Collagen-Containing Extracellular Matrix (GO:0062023)","70/373",2.82789194523438e-19,6.61726715184846e-17,0,0,4.06688251763565,173.69486550118,"FCN1;SRPX;FCN2;ECM1;ORM1;FCN3;SERPINA1;SERPINE1;PZP;ORM2;ADAMTS1;TNR;ANXA8;FGB;FGA;COL25A1;SERPINF2;FGG;P3H2;BGN;APOA1;SERPINB9;NRG1;SERPINB8;DCN;AZGP1;SFRP1;F9;MMRN1;ANGPTL6;ANGPTL3;SERPING1;VWA2;ANG;COL6A6;ZG16;FREM1;MXRA5;FREM2;ANGPTL1;S100A8;C1QB;APCS;TNXB;FGL1;FGL2;DPT;PLG;PRELP;CFP;ITIH1;THBS1;HPX;APOH;SPP2;NCAM1;A2M;WNT2;AMBP;APOC3;PRG4;SSC5D;L1CAM;PODN;USH2A;MFAP4;CXCL12;CILP;C1QC;PF4","CC","Down",0.187667560321716,6.61726715184846e-17,70
"Intracellular Organelle Lumen (GO:0070013)","109/856",5.78448580974595e-16,6.76784839740276e-14,0,0,2.60352696876746,91.3478211060227,"DMGDH;FCN1;CDA;ACAA2;ACSM3;PROS1;HP;OGDHL;ABAT;ACSM5;LIPC;EVA1A;PDK4;MLYCD;MMUT;IGFBP1;MLIP;IGFBP4;IGFBP3;P3H2;HOGA1;CRISPLD2;MTHFD2L;ACOT2;SERPING1;SUCLG2;ZG16;SLC27A2;GCDH;SDC4;MTTP;PROZ;GLYAT;CFP;ACAT1;HPX;ADAMTS13;FGF23;PCK2;AGXT2;GOT2;PDE2A;PPBP;CP;ACADSB;GLUD1;RCAN1;ALDH6A1;IL6;CPS1;ALB;ALAS2;ORM1;ALAS1;SERPINA1;LRRK2;SERPINA10;ACSM2A;HBB;DHTKD1;NADK2;HK3;ACADL;ALDH2;DBT;ACADM;HMGCS2;ACADS;PGM1;FGA;COL25A1;BCKDHB;FGG;BGN;APOA1;HBA1;APOA5;DCN;F8;F9;IVD;CAT;RDH5;FXN;ECHS1;GLS2;FGL2;ETFDH;PRELP;PPM1K;PTGS2;THBS1;HMGCL;RIDA;ALDH1B1;SPP2;BCO2;APOL1;CBR4;MMAA;AADAT;AGL;WNT7A;GSTZ1;ALDH4A1;LRG1;SARDH;SAA1;OTC","CC","Down",0.127336448598131,6.76784839740276e-14,109
"Platelet Alpha Granule Lumen (GO:0031093)","22/66",4.39580954645828e-12,3.42873144623746e-10,0,0,8.5362647325476,223.226476091641,"FGB;SRGN;FGA;ORM1;SERPINA1;PROS1;HGF;SERPINE1;FGG;SERPINF2;NRG1;PLG;IGF1;PPBP;ORM2;THBS1;F8;MMRN1;ALB;SERPING1;A2M;PF4","CC","Down",0.333333333333333,3.42873144623746e-10,22
"Mitochondrial Matrix (GO:0005759)","53/355",7.35554110607519e-11,4.30299154705399e-09,0,0,3.04057835820896,70.94576041109,"DMGDH;ALAS2;ACAA2;ALAS1;ACSM3;LRRK2;ACSM2A;ABAT;ACSM5;OGDHL;DHTKD1;NADK2;ACADL;ALDH2;DBT;PDK4;MLYCD;MMUT;ACADM;HMGCS2;ACADS;BCKDHB;HOGA1;IVD;MTHFD2L;ACOT2;SUCLG2;FXN;GCDH;ECHS1;GLS2;ETFDH;GLYAT;PPM1K;ACAT1;HMGCL;RIDA;ALDH1B1;BCO2;CBR4;PCK2;MMAA;AGXT2;PDE2A;GOT2;ACADSB;ALDH4A1;GSTZ1;GLUD1;ALDH6A1;CPS1;SARDH;OTC","CC","Down",0.149295774647887,4.30299154705399e-09,53
"Platelet Alpha Granule (GO:0031091)","23/89",4.73659648643623e-10,2.21672715565215e-08,0,0,5.94795963262388,127.705858180027,"FGB;SRGN;FGA;ORM1;SERPINA1;PROS1;HGF;SERPINE1;FGG;SERPINF2;NRG1;PLG;IGF1;PPBP;ORM2;THBS1;SELP;F8;MMRN1;ALB;SERPING1;A2M;PF4","CC","Down",0.258426966292135,2.21672715565215e-08,23
"Secretory Granule Lumen (GO:0034774)","45/316",8.96633251549605e-09,3.49686968104346e-07,0,0,2.86039360393604,53.0024902400304,"FCN1;CDA;ECM1;ORM1;SERPINA1;PROS1;SERPINE1;HP;PLG;DBH;CFP;ORM2;MPO;THBS1;SERPINA4;HK3;TTR;APOH;CDC37L1;S100A12;SPP2;A2M;ACAA1;FGB;SRGN;FGA;AOC1;ARG1;AGL;HGF;SERPINF2;FGG;APOA1;NRG1;IGF1;PPBP;F8;LRG1;MMRN1;CRISPLD2;ALB;CAT;SERPING1;S100A8;PF4","CC","Down",0.142405063291139,3.49686968104346e-07,45
"Microbody Lumen (GO:0031907)","15/49",4.20361983680304e-08,1.22955880226489e-06,0,0,7.48847376788553,127.189740434799,"AOC1;EPHX2;FABP1;HMGCL;GRHPR;SCP2;ACOX2;EHHADH;CAT;ACOT2;HAO1;MLYCD;ACAA1;AGXT;HAO2","CC","Down",0.306122448979592,1.22955880226489e-06,15
"Peroxisomal Matrix (GO:0005782)","15/49",4.20361983680304e-08,1.22955880226489e-06,0,0,7.48847376788553,127.189740434799,"AOC1;EPHX2;FABP1;HMGCL;GRHPR;SCP2;ACOX2;EHHADH;CAT;ACOT2;HAO1;MLYCD;ACAA1;AGXT;HAO2","CC","Down",0.306122448979592,1.22955880226489e-06,15
"Serine-Type Endopeptidase Complex (GO:1905370)","7/10",1.80722291404134e-07,4.69877957650749e-06,0,0,39.3870005963029,611.534556153783,"FCN1;COLEC11;FCN2;THBD;COLEC10;FCN3;MBL2","CC","Down",0.7,4.69877957650749e-06,7
"Serine-Type Peptidase Complex (GO:1905286)","7/12",1.07922957244573e-06,2.525397199523e-05,0,0,23.6296958855098,324.654609458479,"FCN1;COLEC11;FCN2;THBD;COLEC10;FCN3;MBL2","CC","Down",0.583333333333333,2.525397199523e-05,7
